from,to
0b137eb3cb8641c68abf7ab6b0087add16ef53c8,0fa44a702dbd8f4a733609339458842c9004512a
0776720c8fec72a7d9bf4553bab34be566217b46,08ee75c7c4e1c672a82421423674031bedcfcb4e
056218c9734acbcfaadf2c7bf4b98f489f9951af,00deb759798517d0cf78296ba89f07b2046f17ad
0e20fb91962b293f8c45da701dea554e1fe31ad3,08cff2f93871ded6884a6dca73b4da6d65b34043
0c0cb91823eb706494db8c9d57565a40a9c9be08,08c0d9c0662abbdb67ee634bf028703e681aa21f
09e5ee07b6a852c69614a416587552248200d0fb,04320ac72a431070a12a82d6fe2ee0154796aa7c
0e72c998806412b0acf740dfc4bbc85d95c26bbb,08212ec2ed1381639eb994f65e9fb99915b03a4b
097db0324eedd062850c2cd83845156c2d1131f8,0571e2a50d8e38af7ba4e2586f39b6ca5e91bf9c
07a4c310ea65acc3d8303c83044aa31c45144f8c,01e769814253fd7a73c35af5c183adee5687e4cc
0222a541adc416d75b51d9e951c4dcdc610a0d79,0740fa9f501531686a1c75f4bcfba8291b4ddd40
0d19c5e7ba78d1f17c70637bc03a5bde805c8152,06cb0c24ee3c97c64f64f3080960bf2fabab150b
08cc89e4b4ee5cab32b08d7628de0d81ebf0c3e1,069353597c56c6d14c3578d91cd3f169409e69fb
0e27a5bc87140c808554d45037e43e706e8b0d5d,0d9c4f96ad6912e45c7e56eade22063b1f8a2d76
0f6c915b3e5bcd5d3b1d1db8fc12070ecac5b315,02fa359b6d221a0dcc0d719fc37277d7407c09c0
09cf13dad6cf87e2e38e0ba07e9ba35e505d14cf,0278da20f447640084e536bb817f698629c147cd
09e29a2cae34d5f0603c5fcbd91cc2fe0a00bb99,0cf0434cf148b34b723823f4d189b7eb1a1597b0
0b1734da510f45d754ebb7e8d1ca1fd0e267af20,0e259e359671d77bdca006d687754c9626f311ec
0754e29d152efd6d69eafd186ff04acf74ebd822,0f0109f59b8039aba22392c40036a25fc424c98d
070282410454765dfd4e71bf4b6a7d29bd6b3e3c,06daf31e23a815438553dea61263c63b7f58ca91
0b9a5ecc85ea50f0427c7162963726dc10328a65,05b3f7fac4330962cf77e9c9b9016468f30613a9
005d121cbfda2d7d068e7d1270db424ecdb78317,04073e9753cfeaf54d470ccd7ec2e81aac836e0b
00d644630d106b836297110e7ee403f1d017991d,0726dc25b5e6eb31c70255bd100681277e15e89c
092bca27ac336478c9ed21a54b2c542ba40ed8dd,00ac9b474a6ee54cd2dd5ddbb43e2ea5a648845b
054e7e84e7355b1201583ecf7e0fd68a111cad91,037e593559eb082560db16b36067863966ea6903
